analysis,patient_id,n_samples_contributing,median_within_distance,median_matched_between_distance,between_minus_within_distance
bray_same_or_adjacent_visit_depth_within_0.2cm,106,5,0.08220214933794479,0.08405736230904536,0.00937453517604682
bray_same_or_adjacent_visit_depth_within_0.2cm,107,2,0.10674473820256279,0.09788881297905483,-0.008855925223507963
bray_same_or_adjacent_visit_depth_within_0.2cm,109,6,0.054928480791608635,0.10016632153545516,0.044082951179416796
bray_same_or_adjacent_visit_depth_within_0.2cm,111,4,0.10828544572296894,0.10746082608920979,0.006052156289793574
bray_same_or_adjacent_visit_depth_within_0.2cm,112,4,0.052998228890454656,0.0928676478443337,0.03579181652039887
bray_same_or_adjacent_visit_depth_within_0.2cm,116,3,0.28201212900673733,0.10302332668188516,-0.1694806109973823
bray_same_or_adjacent_visit_depth_within_0.2cm,117,5,0.10709545987213225,0.10743095689773924,0.026643334373149613
bray_same_or_adjacent_visit_depth_within_0.2cm,124,7,0.08445368788433374,0.09017691708561472,-0.0004871055567796795
bray_same_or_adjacent_visit_depth_within_0.2cm,126,2,0.0625758921699112,0.09279212662203914,0.030216234452127934
bray_same_or_adjacent_visit_depth_within_0.2cm,139,2,0.08663100201975123,0.10737826042047569,0.02074725840072445
bray_same_or_adjacent_visit_depth_within_0.2cm,141,7,0.10886433585691971,0.10715485245014095,-0.0019871911724774483
bray_same_or_adjacent_visit_depth_within_0.2cm,143,5,0.08287984043522251,0.10225462876208055,0.01079162191224435
bray_same_or_adjacent_visit_depth_within_0.2cm,144,2,0.17580995242124714,0.10510166759319842,-0.07070828482804872
bray_same_or_adjacent_visit_depth_within_0.2cm,145,4,0.054809688150215516,0.09104633643548792,0.03803232792190547
bray_same_or_adjacent_visit_depth_within_0.2cm,147,2,0.08853755572748055,0.129348672183181,0.04081111645570044
bray_same_or_adjacent_visit_depth_within_0.2cm,153,2,0.12356974175114568,0.10923215915883386,-0.014337582592311826
bray_same_or_adjacent_visit_depth_within_0.2cm,154,2,0.08128714288391548,0.090416444606429,0.009129301722513528
bray_same_or_adjacent_visit_depth_within_0.2cm,159,4,0.06262080404594132,0.1213517712292457,0.05231325023835691
bray_same_or_adjacent_visit_depth_within_0.2cm,162,3,0.1592868677045743,0.13473055883205737,-0.021378080530337573
bray_same_or_adjacent_visit_depth_within_0.2cm,170,3,0.07512791633824178,0.08701006808422308,0.007261770121069502
bray_same_or_adjacent_visit_depth_within_0.2cm,171,5,0.08052098662861498,0.09570057516885519,0.014604533936830158
bray_same_or_adjacent_visit_depth_within_0.2cm,173,4,0.045996839075420425,0.10594018845240745,0.060223924791600256
bray_same_or_adjacent_visit_depth_within_0.2cm,175,10,0.05144996705701811,0.09329893075149909,0.03189271274098273
bray_same_or_adjacent_visit_depth_within_0.2cm,176,11,0.07507378104625098,0.10978230381363448,0.02806791252713063
bray_same_or_adjacent_visit_depth_within_0.2cm,177,4,0.10010784912505641,0.10573785015876153,0.006218062282354067
bray_same_or_adjacent_visit_depth_within_0.2cm,181,3,0.06286434973789015,0.09864743468743765,0.03820910168320628
bray_same_or_adjacent_visit_depth_within_0.2cm,183,4,0.09719163591057461,0.10518241616584408,0.007263425468093748
bray_same_or_adjacent_visit_depth_within_0.2cm,186,11,0.08015058879513422,0.10659050157199271,0.0182314054563172
bray_same_or_adjacent_visit_depth_within_0.2cm,187,3,0.07136165963772104,0.07691978404488499,0.012784903565012301
bray_same_or_adjacent_visit_depth_within_0.2cm,190,3,0.08103869354111543,0.07156018823565623,-0.001255719627269794
bray_same_or_adjacent_visit_depth_within_0.2cm,191,10,0.12192943619574576,0.10400889686081845,-0.0034314388875405707
bray_same_or_adjacent_visit_depth_within_0.2cm,193,4,0.0967847497157197,0.08524111297464555,-0.002790603081432655
bray_same_or_adjacent_visit_depth_within_0.2cm,195,3,0.0829226853052511,0.08337916050455939,0.01710441311687523
bray_same_or_adjacent_visit_depth_within_0.2cm,196,4,0.03007717892806956,0.09395494654046964,0.06548755906048931
bray_same_or_adjacent_visit_depth_within_0.2cm,197,3,0.059523306428250856,0.07156018823565623,0.00417146529411435
bray_same_or_adjacent_visit_depth_within_0.2cm,198,10,0.0874285106118918,0.08604557790269203,0.0034427464472980146
bray_same_or_adjacent_visit_depth_within_0.2cm,301,2,0.0668067961348001,0.0836371840559113,0.016830387921111203
bray_same_or_adjacent_visit_depth_within_0.2cm,302,3,0.08360145658156715,0.10801065318177829,0.03638043062773641
bray_same_or_adjacent_visit_depth_within_0.2cm,305,3,0.07872551185073628,0.15384286256421853,0.07511735071348224
bray_same_or_adjacent_visit_depth_within_0.2cm,307,3,0.12338110054201493,0.10481785847933128,-0.0026261382741899347
bray_same_or_adjacent_visit_depth_within_0.2cm,308,2,0.07602862097295914,0.0974225423985631,0.021393921425603958
bray_same_or_adjacent_visit_depth_within_0.2cm,309,3,0.07248681276501234,0.07493030249962053,0.002443489734608187
bray_same_or_adjacent_visit_depth_within_0.2cm,310,2,0.11208617178477773,0.10701354160065618,-0.005072630184121539
bray_same_or_adjacent_visit_depth_within_0.2cm,312,5,0.0549457918947512,0.09225266900672355,0.03722613853151514
